,gaokaoId,birthdate
160,19640102100399,04/23/2000
161,19640102100401,01/07/2000
162,19640102100402,04/24/2000
163,19640102100403,08/24/2000
164,19640102100404,10/07/1998
165,19640102100405,09/01/2000
166,19640102100406,07/25/2000
167,19640102100407,12/18/1999
168,19640102100408,05/29/2000
169,19640102100409,08/22/2000
170,19640102100410,11/07/2000
171,19640102100411,01/28/2000
172,19640102100412,02/21/1999
173,19640102100413,05/03/2000
174,19640102100414,10/16/1999
175,19640102100415,08/18/2000
176,19640102100416,11/19/1998
177,19640102100417,10/09/2000
178,19640102100418,12/28/1999
179,19640102100419,01/01/2000
180,19640102100420,04/26/2000
181,19640102100421,08/01/1999
182,19640102100422,06/05/2000
183,19640102100423,03/18/2000
184,19640102100424,03/20/1999
185,19640102100425,08/27/2000
186,19640102100426,05/25/2000
187,19640102100427,08/18/1999
188,19640102100428,03/19/2000
189,19640102100429,11/07/1999
190,19640102100430,12/03/1999
191,19640102100431,01/19/2000
192,19640102100432,02/16/2000
193,19640102100433,11/12/2000
194,19640102100434,12/01/1998
195,19640102100435,12/29/1997
196,19640102100436,12/11/2000
197,19640102100437,12/30/1999
198,19640102100438,09/15/2000
199,19640102100439,09/30/2000
200,19640102100440,03/02/2000
201,19640102100441,10/24/1998
202,19640102100442,06/19/2000
203,19640102100443,08/29/1999
204,19640102100444,03/24/2000
205,19640102100445,05/18/2000
206,19640102100446,09/18/2000
207,19640102100447,01/19/2000
208,19640102100448,07/19/2000
209,19640102100449,10/01/1999
210,19640102100450,11/17/2000
211,19640102100451,10/06/1999
212,19640102100452,05/15/1999
213,19640102100453,12/04/1999
214,19640102100454,01/18/2001
215,19640102100455,12/06/1999
216,19640102100456,06/11/2001
217,19640102100457,08/03/2000
218,19640102100458,05/13/2000
219,19640102100459,01/02/2000
220,19640102100460,01/09/2000
221,19640102100461,02/11/2000
222,19640102100462,10/10/2000
223,19640102100463,11/26/1999
224,19640102100464,10/14/1999
225,19640102100465,02/09/2000
226,19640102100466,08/16/2000
227,19640102100467,07/27/2000
228,19640102100468,03/28/2001
229,19640102100469,05/20/2001
230,19640102100470,10/09/1998
231,19640102100471,12/01/1999
232,19640102100472,06/09/2000
233,19640102100473,01/25/1999
234,19640102100474,04/06/1998
235,19640102100475,12/18/1996
236,19640102100476,05/22/2000
237,19640102100477,05/21/1998
238,19640102100478,04/20/2000
239,19640102100479,10/22/1999
240,19640102100480,12/30/1999
241,19640102100481,05/15/2000
242,19640102100482,12/29/1999
243,19640102100483,09/25/2000
244,19640102100484,02/13/2000
245,19640102100485,09/13/1999
246,19640102100486,12/27/1999
247,19640102100487,08/15/1999
248,19640102100488,09/04/2000
249,19640102100489,12/23/1999
250,19640102100490,12/28/1999
251,19640102100491,12/29/2000
252,19640102100492,06/11/2000
253,19640102100493,04/28/2000
254,19640102100494,03/05/2000
255,19640102100495,01/11/2000
256,19640102100496,05/06/2000
257,19640102100497,03/28/2000
258,19640102100498,05/21/1999
259,19640102100499,06/20/1996
260,19640102100501,06/14/2001
261,19640102100502,11/22/1999
262,19640102100503,11/10/1999
263,19640102100504,02/04/2000
264,19640102100505,10/06/1999
265,19640102100506,07/03/1999
266,19640102100507,07/15/2000
267,19640102100508,03/01/2000
268,19640102100509,07/29/1999
269,19640102100510,12/06/1999
270,19640102100511,07/04/2000
271,19640102100512,04/13/2000
272,19640102100513,11/22/1998
273,19640102100514,01/03/1999
274,19640102100515,01/11/2000
275,19640102100516,08/01/2000
276,19640102100517,01/24/1999
277,19640102100518,04/25/1999
278,19640102100519,08/06/2000
279,19640102100520,09/17/2000
280,19640102100521,10/11/2000
281,19640102100522,06/20/1998
282,19640102100523,01/20/1999
283,19640102100524,08/10/2000
284,19640102100525,08/14/2000
285,19640102100526,02/11/2000
286,19640102100527,12/03/2000
287,19640102100528,07/05/1998
288,19640102100529,03/17/2000
289,19640102100530,02/10/2000
290,19640102100531,01/02/2000
291,19640102100532,11/01/2000
292,19640102100533,01/05/2000
293,19640102100534,04/04/1999
294,19640102100535,04/22/1999
295,19640102100536,07/03/2000
296,19640102100537,08/01/1999
297,19640102100538,11/11/1999
298,19640102100539,12/08/1999
299,19640102100540,04/10/1999
300,19640102100541,08/05/2000
301,19640102100542,12/08/1999
302,19640102100543,04/07/1999
303,19640102100544,03/07/2000
304,19640102100545,06/06/2000
305,19640102100546,08/06/2000
306,19640102100547,02/01/1997
307,19640102100548,06/02/2000
308,19640102100549,01/01/1999
309,19640102100550,01/12/1999
310,19640102100551,09/26/1995
311,19640102100552,01/11/2000
312,19640102100553,04/09/2000
313,19640102100554,07/04/2000
314,19640102100555,11/01/2000
315,19640102100556,07/04/2000
316,19640102100557,11/03/2000
317,19640102100558,09/25/2000
318,19640102100559,10/28/2000
319,19640102100560,01/09/2000
320,19640102100561,11/28/1999
321,19640102100562,10/24/1999
322,19640102100563,08/25/2000
323,19640102100564,09/20/1999
324,19640102100565,08/31/2000
325,19640102100566,03/08/2000
326,19640102100567,09/01/2001
327,19640102100568,11/17/1999
328,19640102100569,03/16/1999
329,19640102100570,08/30/1998
330,19640102100571,07/30/2001
331,19640102100572,09/07/2000
332,19640102100573,06/18/2000
333,19640102100574,02/10/1999
334,19640102100575,02/15/2000
335,19640102100576,03/01/1999
336,19640102100577,02/28/2000
337,19640102100578,11/14/1999
338,19640102100579,08/05/2000
339,19640102100580,10/10/1999
340,19640102100581,06/15/2000
341,19640102100582,07/13/2000
342,19640102100583,05/28/1999
343,19640102100584,05/03/1999
344,19640102100585,12/05/1998
345,19640102100586,11/03/1999
346,19640102100587,04/06/1999
347,19640102100588,11/06/2000
348,19640102100589,12/09/1999
349,19640102100590,10/18/1999
350,19640102100591,09/20/2000
351,19640102100592,01/14/2000
352,19640102100593,11/30/1999
353,19640102100594,09/21/1999
354,19640102100595,06/05/2000
355,19640102100596,10/03/1999
356,19640102100597,06/21/2000
357,19640102100598,06/22/2000
358,19640102100599,06/21/2000
359,19640102100601,07/21/1998
360,19640102100602,05/25/2000
361,19640102100603,10/23/2000
362,19640102100604,03/24/1999
363,19640102100605,04/17/2000
364,19640102100606,01/11/2000
365,19640102100607,02/14/2000
366,19640102100608,09/23/2002
367,19640102100609,07/05/2000
368,19640102100610,07/08/2000
369,19640102100611,07/31/2000
370,19640102100612,12/27/1999
371,19640102100613,01/23/2000
372,19640102100614,04/28/2000
373,19640102100615,11/14/2000
374,19640102100616,02/06/2000
375,19640102100617,07/30/2000
376,19640102100618,09/12/1999
377,19640102100619,02/14/2000
378,19640102100620,05/25/2000
379,19640102100621,06/22/2000
380,19640102100622,03/20/2000
381,19640102100623,01/01/2000
382,19640102100624,08/09/2001
383,19640102100625,05/08/1999
384,19640102100626,02/02/2000
385,19640102100627,09/30/2000
386,19640102100628,11/12/1999
387,19640102100629,09/20/2000
388,19640102100630,06/24/2000
389,19640102100631,11/17/1999
390,19640102100632,01/19/2000
391,19640102100633,01/20/2000
392,19640102100634,08/31/1999
393,19640102100635,04/24/2000
394,19640102100636,03/14/2000
395,19640102100637,06/30/2000
396,19640102100638,10/18/2000
397,19640102100639,05/17/2000
398,19640102100640,05/24/2000
399,19640102100641,01/22/2000
400,19640102100642,01/11/1999
401,19640102100643,06/27/2000
402,19640102100644,01/16/1999
403,19640102100645,02/06/2000
404,19640102100646,12/22/1999
405,19640102100647,02/16/2001
406,19640102100648,11/05/1999
407,19640102100649,12/26/1998
408,19640102100650,09/01/2000
409,19640102100651,05/29/2000
410,19640102100652,03/19/2000
411,19640102100653,06/05/2000
412,19640102100654,02/03/2000
413,19640102100655,01/10/1999
414,19640102100656,09/23/2000
415,19640102100657,07/18/1999
416,19640102100659,02/27/1998
417,19640102110501,09/02/2000
418,19640102110502,02/15/2001
419,19640102110503,02/07/2001
420,19640102110504,04/07/2001
421,19640102110505,01/13/2001
422,19640102110506,12/21/2000
423,19640102110507,06/16/2001
424,19640102110508,06/19/2001
425,19640102110509,09/26/2001
426,19640102110510,11/29/2000
427,19640102110511,09/19/2001
428,19640102110512,09/08/2000
429,19640102110513,06/29/2001
430,19640102110514,10/15/2000
431,19640102110515,07/12/2001
432,19640102110516,07/11/2001
433,19640102110517,02/08/2001
434,19640102110518,06/29/2001
435,19640102110519,01/26/2001
436,19640102110520,02/25/2001
437,19640102110521,04/24/2001
438,19640102110522,01/08/2001
439,19640102110523,12/21/2000
440,19640102110524,12/21/2001
441,19640102110525,04/06/2001
442,19640102110526,01/19/2001
443,19640102110527,08/24/2000
444,19640102110528,10/01/2000
445,19640102110529,10/30/2000
446,19640102110530,05/09/2002
447,19640102110531,06/24/2001
448,19640102110532,07/11/2001
449,19640102110533,09/21/2001
450,19640102110534,09/29/2000
451,19640102110535,05/18/2001
452,19640102110536,01/29/2001
453,19640102110537,06/02/2001
454,19640102110538,09/17/2000
455,19640102110539,09/28/2001
456,19640102110540,11/27/2000
457,19640102110541,08/11/2001
458,19640102110542,11/02/2000
459,19640102110543,11/01/2000
460,19640102110544,08/24/2000
461,19640102110545,08/03/2001
462,19640102110546,07/19/2001
463,19640102110547,09/18/2000
464,19640102110548,11/20/2000
465,19640102110549,07/20/2000
466,19640102110550,03/05/2002
467,19640102110551,08/22/2000
468,19640102110552,10/18/2000
469,19640102110601,11/20/2000
470,19640102110602,11/28/2000
471,19640102110603,08/08/2001
472,19640102110604,11/29/2001
473,19640102110605,08/21/2000
474,19640102110606,10/07/2000
475,19640102110607,10/09/2000
476,19640102110608,09/15/2000
477,19640102110609,08/28/2002
478,19640102110610,12/25/1998
479,19640102110611,04/23/2001
480,19640102110612,05/05/2001
481,19640102110613,10/19/2001
482,19640102110614,03/31/2001
483,19640102110615,09/08/2000
484,19640102110616,01/05/2001
485,19640102110617,07/20/2001
486,19640102110618,05/19/2001
487,19640102110619,10/26/2000
488,19640102110620,04/04/2001
489,19640102110621,02/26/2001
490,19640102110622,02/01/2001
491,19640102110623,01/15/2001
492,19640102110624,03/25/2001
493,19640102110625,11/25/2001
494,19640102110626,11/10/2000
495,19640102110627,12/02/2000
496,19640102110628,02/20/2000
497,19640102110629,05/02/2000
498,19640102110630,06/01/2001
499,19640102110631,02/24/2001
500,19640102110632,01/23/2001
501,19640102110633,11/22/2001
502,19640102110634,02/20/2001
503,19640102110635,09/26/2000
504,19640102110636,11/01/2000
505,19640102110637,10/26/2000
506,19640102110638,02/21/2001
507,19640102110639,08/12/1999
508,19640102110640,03/12/2001
509,19640102110641,03/16/2001
510,19640102110642,04/30/2001
511,19640102110643,05/18/2001
512,19640102110644,08/06/2001
513,19640102110645,01/08/2001
514,19640102110646,12/20/2000
515,19640102110647,06/16/2002
516,19640102110648,05/20/2001
517,19640102110649,05/25/2001
518,19640102110650,04/04/2001
519,19640102110651,05/01/2001
520,19640102110652,09/02/2001
521,19640102110653,05/08/2001
522,19640102110701,08/22/2000
523,19640102110702,10/17/2000
524,19640102110703,06/30/2001
525,19640102110704,08/23/2000
526,19640102110705,11/11/2000
527,19640102110706,11/15/2000
528,19640102110707,12/11/2000
529,19640102110708,01/24/2001
530,19640102110709,03/07/2001
531,19640102110710,03/10/2001
532,19640102110711,06/10/2001
533,19640102110712,06/22/2001
534,19640102110713,07/05/2001
535,19640102110714,07/31/2001
536,19640102110715,10/09/2001
537,19640102110716,12/28/2000
538,19640102110717,01/21/2001
539,19640102110718,02/09/2001
540,19640102110719,07/26/2000
541,19640102110720,04/17/2001
542,19640102110721,03/15/2000
543,19640102110722,02/09/2001
544,19640102110723,11/07/2000
545,19640102110724,11/20/2000
546,19640102110725,03/20/2001
547,19640102110726,01/26/2001
548,19640102110727,02/21/2001
549,19640102110728,02/26/2001
550,19640102110729,12/23/2000
551,19640102110730,01/11/2001
552,19640102110731,11/05/2000
553,19640102110732,05/11/2001
554,19640102110733,11/01/2000
555,19640102110734,01/30/2001
556,19640102110735,09/13/2000
557,19640102110736,05/10/2000
558,19640102110737,10/31/2000
559,19640102110738,05/08/2001
560,19640102110739,05/28/2001
561,19640102110740,07/23/2001
562,19640102110741,12/21/2000
563,19640102110742,09/10/2000
564,19640102110743,12/29/2002
565,19640102110744,11/15/2000
566,19640102110745,02/02/1999
567,19640102110746,01/23/2000
568,19640102110747,05/05/2000
569,19640102110748,07/21/2002
570,19640102110749,03/08/2000
571,19640102110750,12/17/2000
572,19640102110751,08/15/2001
573,19640102110801,05/12/2000
574,19640102110802,09/02/2001
575,19640102110803,03/01/2001
576,19640102110804,09/10/2000
577,19640102110805,10/01/2001
578,19640102110806,02/03/2001
579,19640102110807,12/11/2000
580,19640102110808,01/17/2001
581,19640102110809,06/25/2001
582,19640102110810,11/15/2000
583,19640102110811,04/12/2001
584,19640102110812,05/11/2001
585,19640102110813,07/11/2001
586,19640102110814,04/06/2001
587,19640102110815,09/29/1999
588,19640102110816,10/29/2001
589,19640102110817,08/30/2001
590,19640102110818,12/26/2000
591,19640102110819,03/15/2000
592,19640102110820,02/14/2001
593,19640102110821,03/27/2001
594,19640102110822,03/23/2002
595,19640102110823,11/10/2000
596,19640102110824,07/29/2001
597,19640102110825,12/30/2003
598,19640102110826,07/15/2001
599,19640102110827,05/04/2001
600,19640102110828,03/05/2001
601,19640102110829,11/04/2001
602,19640102110830,09/27/2001
603,19640102110831,12/25/2000
604,19640102110832,03/16/2001
605,19640102110833,10/01/2000
606,19640102110834,03/10/2001
607,19640102110835,12/05/2000
608,19640102110836,02/02/2001
609,19640102110837,05/18/2001
610,19640102110838,06/08/2001
611,19640102110839,11/07/2000
612,19640102110840,08/10/2001
613,19640102110841,08/31/2001
614,19640102110842,01/15/2001
615,19640102110843,04/25/2001
616,19640102110844,11/20/2000
617,19640102110845,02/20/2001
618,19640102110846,12/16/2000
619,19640102110847,07/23/2001
620,19640102110848,05/31/2001
621,19640102120101,04/20/2001
622,19640102120102,02/10/2001
623,19640102120103,07/26/2000
624,19640102120104,04/24/2001
625,19640102120105,03/23/2001
626,19640102120106,11/14/2000
627,19640102120107,03/19/2001
628,19640102120108,08/28/2001
629,19640102120109,03/08/2001
630,19640102120110,07/12/2001
631,19640102120111,12/01/2000
632,19640102120112,05/10/2001
633,19640102120113,01/13/2001
634,19640102120114,03/16/2001
635,19640102120115,05/06/2001
636,19640102120116,12/26/2000
637,19640102120117,03/05/2001
638,19640102120118,08/01/2001
639,19640102120119,06/07/2000
640,19640102120120,03/30/2001
641,19640102120121,03/20/2001
642,19640102120122,08/01/2001
643,19640102120123,02/09/2001
644,19640102120124,02/19/2001
645,19640102120125,06/19/2001
646,19640102120126,11/14/2000
647,19640102120127,04/02/2001
648,19640102120128,11/19/2001
649,19640102120129,08/05/2001
650,19640102120130,10/18/2001
651,19640102120131,10/01/2000
652,19640102120132,03/08/2001
653,19640102120133,05/26/2001
654,19640102120134,06/13/2001
655,19640102120135,08/10/2001
656,19640102120136,03/08/2000
657,19640102120137,04/18/2001
658,19640102120138,03/26/2001
659,19640102120139,10/10/2001
660,19640102120140,12/06/2000
661,19640102120141,02/07/2001
662,19640102120142,05/27/2002
663,19640102120143,09/13/2001
664,19640102120144,01/08/2001
665,19640102120145,12/12/2001
666,19640102120146,06/11/2000
667,19640102120147,11/23/2001
668,19640102120148,10/29/2001
669,19640102120149,04/23/2001
670,19640102120150,01/18/2001
671,19640102120151,02/10/2001
672,19640102120152,05/17/2001
673,19640102120153,01/19/2001
674,19640102120154,08/23/2000
675,19640102120155,04/13/2001
676,19640102120156,08/25/2000
677,19640102120157,06/08/2001
678,19640102120158,01/28/2001
679,19640102120159,05/11/2001
680,19640102120160,10/22/2000
681,19640102120201,04/27/2001
682,19640102120202,07/20/2000
683,19640102120203,01/02/2001
684,19640102120204,07/11/2001
685,19640102120205,06/26/2001
686,19640102120206,12/25/1999
687,19640102120207,09/28/2001
688,19640102120208,11/09/2001
689,19640102120209,01/18/2001
690,19640102120210,03/23/2001
691,19640102120211,05/08/2001
692,19640102120212,08/17/2001
693,19640102120213,10/08/2001
694,19640102120214,02/21/2001
695,19640102120215,12/13/2000
696,19640102120216,01/28/2001
697,19640102120217,03/01/2001
698,19640102120218,09/07/2001
699,19640102120219,04/21/2001
700,19640102120220,09/29/2000
701,19640102120221,03/27/2001
702,19640102120222,09/14/2000
703,19640102120223,03/29/2001
704,19640102120224,08/12/2001
705,19640102120225,06/11/2001
706,19640102120226,03/10/2001
707,19640102120227,12/18/2000
708,19640102120228,02/01/2001
709,19640102120229,10/15/2000
710,19640102120230,02/25/2001
711,19640102120231,08/24/2001
712,19640102120232,08/21/2001
713,19640102120233,09/26/2001
714,19640102120234,09/16/2000
715,19640102120235,09/19/2001
716,19640102120236,10/04/2000
717,19640102120237,05/15/2001
718,19640102120238,08/06/2001
719,19640102120239,10/04/2000
720,19640102120240,12/10/2000
721,19640102120241,06/13/2001
722,19640102120242,08/09/2001
723,19640102120243,07/20/2001
724,19640102120244,03/22/2000
725,19640102120245,01/03/2000
726,19640102120246,01/17/2001
727,19640102120247,06/26/2001
728,19640102120248,03/09/2001
729,19640102120249,12/23/2000
730,19640102120250,10/08/2001
731,19640102120251,05/13/2001
732,19640102120252,01/07/2001
733,19640102120253,05/15/2001
734,19640102120254,07/23/2001
735,19640102120255,12/19/2000
736,19640102120301,10/10/2000
737,19640102120302,11/12/2001
738,19640102120303,08/30/2001
739,19640102120304,12/31/2000
740,19640102120305,02/19/2001
741,19640102120306,08/18/2001
742,19640102120307,04/04/2001
743,19640102120308,01/16/2001
744,19640102120309,11/29/2000
745,19640102120310,01/11/2002
746,19640102120311,10/11/2003
747,19640102120312,04/23/2002
748,19640102120313,11/12/2000
749,19640102120314,09/23/2001
750,19640102120315,02/05/2001
751,19640102120316,07/12/2000
752,19640102120317,04/28/2000
753,19640102120318,11/07/2000
754,19640102120319,08/19/2001
755,19640102120320,09/01/2001
756,19640102120321,10/03/2000
757,19640102120322,01/10/2001
758,19640102120323,05/18/2001
759,19640102120324,05/11/2001
760,19640102120325,05/23/2001
761,19640102120326,11/22/2000
762,19640102120327,12/06/2000
763,19640102120328,11/29/2000
764,19640102120329,09/22/2001
765,19640102120330,11/09/2001
766,19640102120331,11/03/2000
767,19640102120332,01/20/2000
768,19640102120333,09/05/2000
769,19640102120334,09/28/2001
770,19640102120335,03/12/1997
771,19640102120336,05/09/2001
772,19640102120337,01/10/2001
773,19640102120338,10/02/2000
774,19640102120339,09/13/2000
775,19640102120340,02/11/2000
776,19640102120341,12/14/2000
777,19640102120342,01/01/2001
778,19640102120343,04/19/2001
779,19640102120344,10/15/2000
780,19640102120345,03/12/2001
781,19640102120346,01/19/2001
782,19640102120347,11/06/1999
783,19640102120348,11/16/2000
784,19640102120349,05/02/2001
785,19640102120350,10/25/2001
786,19640102120351,09/03/2000
787,19640102120352,12/06/2000
788,19640102120353,11/07/2001
789,19640102120354,02/19/2001
790,19640102120355,05/04/2001
791,19640102120401,06/29/2001
792,19640102120402,02/19/2001
793,19640102120403,03/07/2001
794,19640102120404,07/01/2001
795,19640102120405,02/12/2002
796,19640102120406,11/04/2000
797,19640102120407,08/12/2000
798,19640102120408,02/13/2001
799,19640102120409,02/28/2002
800,19640102120410,04/11/2001
801,19640102120411,11/12/2000
802,19640102120412,07/30/2001
803,19640102120413,04/23/1999
804,19640102120414,10/01/2001
805,19640102120415,12/04/1999
806,19640102120416,11/08/2000
807,19640102120417,06/05/2001
808,19640102120418,09/14/2001
809,19640102120419,07/01/2001
810,19640102120420,10/23/2000
811,19640102120421,07/04/2001
812,19640102120422,10/18/2000
813,19640102120423,01/01/2001
814,19640102120424,02/08/2001
815,19640102120425,09/22/2000
816,19640102120426,11/25/2000
817,19640102120427,08/19/2000
818,19640102120428,03/01/2001
819,19640102120429,10/27/2001
820,19640102120430,02/21/2001
821,19640102120431,08/21/2001
822,19640102120432,04/10/2001
823,19640102120433,05/10/1999
824,19640102120434,11/24/2000
825,19640102120435,04/27/2001
826,19640102120436,11/14/1999
827,19640102120437,03/23/2000
828,19640102120438,01/30/2000
829,19640102120439,09/06/2001
830,19640102120440,06/26/2001
831,19640102120441,09/01/2001
832,19640102120442,10/12/2000
833,19640102120443,12/18/2000
834,19640102120444,07/06/2001
835,19640102120445,01/28/2001
836,19640102120446,03/07/2001
837,19640102120447,06/22/2001
838,19640102120448,09/14/2001
839,19640102120449,04/27/2001
840,19640102120450,07/05/2001
841,19640102120451,12/02/2001
842,19640102120452,04/28/2000
843,19640102120453,09/14/2001
844,19640102120454,09/05/2000
845,19640102120455,11/12/2000
846,19640102120456,07/01/2001
847,19640102120501,08/13/2001
848,19640102120502,03/20/2001
849,19640102120503,01/03/2001
850,19640102120504,01/09/2001
851,19640102120505,09/04/2001
852,19640102120506,05/04/2001
853,19640102120507,04/11/2001
854,19640102120508,03/03/2000
855,19640102120509,07/24/2001
856,19640102120510,04/08/2000
857,19640102120511,02/08/2001
858,19640102120512,08/21/2001
859,19640102120513,02/27/2001
860,19640102120514,11/10/2001
861,19640102120515,07/14/2001
862,19640102120516,11/08/2000
863,19640102120517,09/03/2001
864,19640102120518,03/09/2001
865,19640102120519,10/10/2000
866,19640102120520,02/15/2001
867,19640102120521,08/29/2001
868,19640102120522,09/03/2000
869,19640102120523,05/25/2001
870,19640102120524,02/09/2001
871,19640102120525,05/18/2000
872,19640102120526,06/28/2001
873,19640102120527,12/19/2000
874,19640102120528,07/06/2001
875,19640102120529,03/28/2001
876,19640102120530,08/16/2000
877,19640102120531,11/18/2000
878,19640102120532,12/01/2000
879,19640102120533,01/08/2001
880,19640102120534,01/13/2001
881,19640102120535,09/21/2001
882,19640102120536,01/15/2002
883,19640102120537,06/20/2000
884,19640102120538,11/28/2001
885,19640102120539,05/13/2000
886,19640102120540,01/16/2002
887,19640102120541,01/19/2001
888,19640102120542,12/13/2000
889,19640102120543,04/30/2001
890,19640102120544,05/11/2000
891,19640102120545,09/04/2001
892,19640102120546,01/31/2001
893,19640102120547,02/21/2001
894,19640102120548,02/16/2001
895,19640102120549,10/16/2000
896,19640102120550,09/01/2000
897,19640102120551,11/21/2000
898,19640102120552,04/10/2001
899,19640102120553,10/29/2001
900,19640102120554,12/06/2001
901,19640102120555,03/07/2001
902,19640102120556,02/13/2001
903,19640102130101,02/11/2001
904,19640102130102,07/10/2001
905,19640102130103,11/24/2000
906,19640102130104,07/26/1999
907,19640102130105,06/08/2000
908,19640102130106,07/12/2001
909,19640102130107,09/26/2000
910,19640102130108,02/14/2000
911,19640102130109,06/11/2001
912,19640102130110,07/24/2001
913,19640102130111,07/25/2000
914,19640102130112,11/23/2000
915,19640102130113,09/21/2001
916,19640102130114,12/19/2000
917,19640102130115,03/25/2001
918,19640102130116,10/30/2001
919,19640102130117,01/05/2001
920,19640102130118,06/19/2001
921,19640102130119,08/13/2000
922,19640102130120,01/10/2001
923,19640102130121,10/29/2000
924,19640102130122,10/26/2000
925,19640102130123,12/24/2000
926,19640102130124,03/16/2001
927,19640102130125,02/10/2001
928,19640102130126,08/29/2001
929,19640102130127,09/12/2000
930,19640102130128,06/25/2001
